text,label
"Scientists at NASA confirm discovery of water on Mars raising hopes for future missions",REAL
"New study shows regular meditation reduces anxiety and improves sleep quality significantly",REAL
"Government announces infrastructure investment of billions for road and bridge repairs",REAL
"World Health Organization approves new malaria vaccine showing 77 percent efficacy in trials",REAL
"Electric vehicles now outsell petrol cars in Norway for the first time in history",REAL
"Researchers develop new antibiotic that kills drug resistant bacteria without side effects",REAL
"International climate summit agrees on binding emissions targets for member nations",REAL
"Tech giant announces plan to plant 1 billion trees by 2030 as carbon offset initiative",REAL
"Scientists successfully grow human kidney organoids in laboratory setting for research",REAL
"New solar panel technology achieves record 47 percent efficiency in laboratory tests",REAL
"Global food prices stabilize after supply chain disruptions ease in major markets",REAL
"University study finds children who read daily score 40 percent higher on comprehension",REAL
"Central bank holds interest rates steady amid improving inflation outlook",REAL
"New metro rail line inaugurated connecting suburban areas to city center",REAL
"Medical researchers identify genetic marker linked to early onset Alzheimers disease",REAL
"Renewable energy now accounts for 30 percent of global electricity production",REAL
"Country achieves highest ever literacy rate following decade long education reform",REAL
"Scientists confirm deep ocean current changes affecting global weather patterns",REAL
"New app uses AI to help visually impaired people navigate public spaces independently",REAL
"Study finds urban green spaces reduce city temperatures by up to 4 degrees Celsius",REAL
"Government launches free skill training program for unemployed youth across country",REAL
"Archaeologists discover ancient Roman settlement during highway construction project",REAL
"New water purification technology provides clean drinking water at minimal cost",REAL
"Research confirms coffee consumption linked to reduced risk of type 2 diabetes",REAL
"Startup develops biodegradable packaging material from agricultural waste products",REAL
"New law mandates equal pay for equal work across all government sectors",REAL
"Scientists develop blood test that detects 50 types of cancer at early stage",REAL
"City introduces free public WiFi across all parks and public transport hubs",REAL
"Researchers create artificial photosynthesis system producing clean hydrogen fuel",REAL
"National space agency successfully tests reusable rocket engine for future missions",REAL
"Study shows plant based diet reduces carbon footprint by 73 percent per person",REAL
"New bridge design uses recycled plastic bottles reducing construction waste significantly",REAL
"Children given access to musical education show improved math performance in school",REAL
"Scientists map complete neural connections of fruit fly brain in landmark study",REAL
"New policy requires all new buildings to install solar panels from next year",REAL
"Breakthrough in quantum computing achieves 1000 qubit processor milestone",REAL
"Hospital introduces AI diagnostic tool reducing misdiagnosis rates by 35 percent",REAL
"Fishermen adopt sustainable practices leading to recovery of depleted fish stocks",REAL
"New study confirms benefits of 8 hours sleep for cognitive function and memory",REAL
"Government expands free health insurance coverage to include dental and vision care",REAL
"Scientists discover new species of deep sea creature in Pacific Ocean trench",REAL
"City council votes to ban single use plastics in all restaurants and shops",REAL
"Research shows remote work increases productivity by 13 percent on average",REAL
"New vaccine platform can be updated within weeks to fight emerging virus variants",REAL
"Farmers using precision agriculture technology report 25 percent higher crop yields",REAL
"Study finds air quality improvements in cities after introduction of clean transport",REAL
"New educational software personalizes learning for students with dyslexia",REAL
"Scientists confirm gravitational waves from two merging neutron stars detected",REAL
"Community solar projects allow renters to access clean energy for first time",REAL
"New drug shows promise in treating antibiotic resistant tuberculosis in clinical trials",REAL
"Study links regular physical exercise to 30 percent reduction in depression symptoms",REAL
"City launches program to convert abandoned lots into urban vegetable gardens",REAL
"Researchers develop low cost test for early detection of cervical cancer",REAL
"New international treaty bans deep sea mining in protected ocean areas",REAL
"Scientists successfully edit out sickle cell disease gene in patient trial",REAL
"Country reports lowest unemployment rate in 20 years following economic reforms",REAL
"New AI tool helps doctors predict patient deterioration 24 hours in advance",REAL
"Study shows mandatory helmet laws reduce cycling fatalities by 40 percent",REAL
"Researchers create edible food coating that triples shelf life of fruits",REAL
"New study links regular coffee consumption to reduced risk of Parkinsons disease",REAL
"City council approves budget for new community center and sports facilities",REAL
"Annual marathon attracts record 50000 participants from 80 countries worldwide",REAL
"Technology company opens new research center creating 2000 jobs in the region",REAL
"Rainfall levels reach decade high boosting water reservoir levels across region",REAL
"Museum acquires rare ancient artifacts discovered during infrastructure project",REAL
"School program teaching financial literacy shows improved savings habits in teenagers",REAL
"Marine biologists document recovery of whale populations in protected ocean zones",REAL
"Local government introduces stricter emission standards for industrial facilities",REAL
"Free vaccination campaign protects thousands of children against preventable diseases",REAL
"Scientists develop new material that absorbs twice as much CO2 as existing solutions",REAL
"New policy provides subsidized internet access to rural communities nationwide",REAL
"Study confirms link between outdoor play and improved social skills in children",REAL
"City launches bike sharing program reducing car trips by 15 percent in pilot area",REAL
"Researchers identify protein that could slow progression of multiple sclerosis",REAL
"New early warning system reduces flood damage by alerting communities 72 hours ahead",REAL
"Government program trains 100000 nurses to address healthcare worker shortage",REAL
"Scientists create new biodegradable plastic that breaks down completely in 6 months",REAL
"Study finds mindfulness training improves focus and reduces stress in workplace",REAL
"New railway connection reduces travel time between major cities by 40 percent",REAL
"Researchers find new evidence suggesting coffee protects against liver disease",REAL
"National park expands protected area following successful wildlife conservation program",REAL
"New satellite technology allows farmers to monitor crop health from space in real time",REAL
"Scientists develop non invasive method to detect concussions using simple eye test",REAL
"City installs network of sensors to reduce water wastage by detecting pipe leaks",REAL
"New curriculum integrates coding and digital skills into primary school education",REAL
"Study shows access to green spaces reduces risk of mental health issues by 25 percent",REAL
"International team develops universal flu vaccine effective against all known strains",REAL
"Researchers create low cost hearing aid from smartphone components for developing markets",REAL
"City completes construction of largest urban forest in country covering 500 hectares",REAL
"Scientists develop method to convert plastic waste into aviation fuel efficiently",REAL
"New program pairs elderly residents with young volunteers reducing social isolation",REAL
"Study confirms regular handwashing reduces transmission of common cold by 45 percent",REAL
"Country launches first ever national digital identity system for secure citizen services",REAL
"Researchers discover ancient cave paintings revealing new insights about prehistoric life",REAL
"New cooling system for data centers uses 90 percent less water than traditional methods",REAL
"Government subsidizes electric bike purchases to reduce urban traffic congestion",REAL
"Study shows children who eat breakfast perform significantly better in morning classes",REAL
"New community health initiative reduces hospital admissions by encouraging preventive care",REAL
"Scientists discover enzyme that breaks down plastic pollution in waterways efficiently",REAL
"Government introduces carbon tax rebate program benefiting lower income households most",REAL
"New study shows volunteering improves mental health and reduces risk of depression",REAL
"City deploys autonomous buses on fixed route as part of smart transport pilot program",REAL
"Researchers develop blood pressure medication with fewer side effects than current options",REAL
"Scientists develop ink that conducts electricity opening new possibilities for printed electronics",REAL
"Government expands paid parental leave to 26 weeks for both mothers and fathers",REAL
"New technology allows real time translation of sign language using computer vision",REAL
"Researchers find that certain gut bacteria strains reduce inflammation and improve health",REAL
"Study confirms benefits of arts education for improving creativity and problem solving skills",REAL
"Scientists develop simple soil test kit that helps farmers optimize fertilizer application",REAL
"New international framework establishes standards for ethical AI development and deployment",REAL
"Researchers create low cost prosthetic limb that can be printed using 3D technology",REAL
"Government launches program to retrofit old buildings with energy efficient insulation",REAL
"Study shows bilingual children develop stronger executive function and attention skills",REAL
"New coastal protection program restores mangrove forests reducing flood risk for communities",REAL
"Scientists develop new method to extract lithium from seawater for battery production",REAL
"Government initiative provides free mental health support to frontline healthcare workers",REAL
"New study links air pollution exposure to increased risk of dementia in older adults",REAL
"City introduces free legal aid service for low income residents facing housing disputes",REAL
"Researchers develop affordable solar desalination system for water scarce communities",REAL
"Study shows diverse teams produce more innovative solutions than homogeneous groups",REAL
"Scientists create self healing concrete that repairs its own cracks using bacteria",REAL
"Government extends free childcare program to support working parents returning to employment",REAL
"New research identifies five lifestyle factors that significantly reduce stroke risk",REAL
"City launches program converting food waste into biogas for public transport buses",REAL
"Researchers develop accurate home testing kit for early detection of kidney disease",REAL
"New international guidelines aim to reduce antibiotic overuse in livestock farming",REAL
"Study confirms regular social connection reduces risk of early death by 50 percent",REAL
"Scientists develop paint that keeps buildings cool without air conditioning needed",REAL
"Government invests in apprenticeship programs to address skilled trades worker shortage",REAL
"New satellite data reveals significant recovery of ozone layer over polar regions",REAL
"City introduces dynamic road pricing to reduce peak hour traffic congestion effectively",REAL
"Study shows access to musical instruments improves attention and memory in students",REAL
"Scientists develop new method to produce hydrogen fuel from sunlight and water",REAL
"Government launches digital skills training program targeting workers in declining industries",REAL
"New study finds Mediterranean diet reduces risk of heart attack by 30 percent",REAL
"Researchers develop filter that removes 99 percent of microplastics from drinking water",REAL
"City introduces free shuttle service connecting low income areas to employment centers",REAL
"BOMBSHELL: Secret files prove moon landing was filmed in Hollywood studio by Stanley Kubrick",FAKE
"Doctors are HIDING this miracle cure for cancer that the pharmaceutical industry suppresses",FAKE
"EXPOSED: Bill Gates planning to depopulate world using COVID vaccines with microchips inside",FAKE
"SHOCKING TRUTH: 5G towers are being used to spread coronavirus and control human minds",FAKE
"Ancient prophecy CONFIRMS world leader assassination within months says leaked document",FAKE
"Government adding FLUORIDE to water to make population docile and easy to control PROOF",FAKE
"Scientists ADMIT flat earth theory is correct after decades of hiding the real truth",FAKE
"BREAKING: Aliens have made contact with world governments secret meeting held underground",FAKE
"This MIRACLE BERRY from Amazon jungle burns fat 100 times faster than any exercise",FAKE
"Drinking bleach CURES all diseases doctors refuse to tell you the simple truth",FAKE
"EXPOSED: Shadow government of billionaires meets secretly to plan global population reduction",FAKE
"Chemtrails from planes are POISONING us with toxic mind control chemicals every single day",FAKE
"New WORLD ORDER plans to abolish private property and enslave humanity by 2030 LEAKED",FAKE
"Celebrity caught SECRETLY funding international terrorism government covering up the scandal",FAKE
"Ancient LOST CITY discovered beneath ocean proving advanced civilization existed before history",FAKE
"CONFIRMED: Smartphones emit radiation that causes brain tumors and government knows about it",FAKE
"Oil companies have SUPPRESSED free energy device that runs forever and costs nothing",FAKE
"Secret society of shape shifting reptilians controls all governments and banks worldwide",FAKE
"Eating specific combination of seven foods every morning REVERSES aging by 20 years",FAKE
"Fluorescent lights installed in schools are SECRETLY recording students for government",FAKE
"URGENT WARNING: New smart meters installed in homes are monitoring your conversations",FAKE
"Natural herb BANNED by FDA cures everything including cancer diabetes AIDS and more",FAKE
"Famous scientists who discovered DANGERS of vaccines found dead under mysterious circumstances",FAKE
"EXPOSED: Social media platforms recording ALL private conversations and selling to intelligence",FAKE
"Hidden underground cities being built for elite while surface population faces extinction event",FAKE
"COVID vaccines contain GRAPHENE OXIDE that makes people magnetic and trackable by satellites",FAKE
"World governments secretly TERRAFORMING earth atmosphere to prepare for alien colonization",FAKE
"LEAKED: Major banks planning to crash global economy and seize all private property and savings",FAKE
"Teleportation device INVENTED but suppressed by government to maintain control over population",FAKE
"Ancient Egyptian pyramids were POWER PLANTS built by advanced alien civilization PROOF FOUND",FAKE
"Waking up at specific times every night is SPIRITS trying to communicate with you TRUTH",FAKE
"Major earthquake PREDICTED for next month by ancient Mayan calendar decoded by researcher",FAKE
"BOMBSHELL: Top government official confesses country is secretly run by twelve families",FAKE
"Drinking hot water with lemon every morning on empty stomach CURES 47 known diseases",FAKE
"EXPOSED: NASA images of Mars are photoshopped deserts from Earth to hide real aliens",FAKE
"Secret underground laboratory creating HUMAN ANIMAL HYBRID creatures for military purposes",FAKE
"TRUTH REVEALED: All wars in last 100 years secretly engineered by same banking family",FAKE
"Miracle mineral supplement MMS made from industrial bleach CURES autism cancer and HIV",FAKE
"LEAKED DOCUMENT: Government plan to implant population with tracking chips through vaccination",FAKE
"Hollywood celebrities are members of secret satanic cult that controls entertainment industry",FAKE
"BREAKING: Time traveler from 2075 warns of impending catastrophe in exclusive interview",FAKE
"SHOCKING: Major food companies adding addictive chemical to products to ensure repeat purchases",FAKE
"Government weather modification program HAARP causes earthquakes floods and droughts worldwide",FAKE
"CONFIRMED: Moon is hollow artificial satellite placed by aliens to monitor human civilization",FAKE
"Ancient remedy made from common kitchen spices DESTROYS cancer cells better than chemotherapy",FAKE
"EXPOSED: World leaders not human but androids controlled remotely by secret AI supercomputer",FAKE
"SHOCKING REVELATION: Common pain medication secretly causes permanent brain damage STUDY",FAKE
"TRUTH EXPOSED: All major elections rigged by voting machine software controlled remotely",FAKE
"Scientists HIDE evidence that dinosaurs never existed fabricated to mislead public",FAKE
"URGENT: Stop using microwave ovens they destroy nutrients and cause cancer doctors say",FAKE
"BOMBSHELL: Major university secretly funded by pharmaceutical companies to suppress cures",FAKE
"Hollywood insiders CONFIRM child trafficking ring run by A list celebrities exposed",FAKE
"LEAKED: Government plan to replace paper money with digital currency to control spending",FAKE
"Ancient alien technology DISCOVERED in Antarctica hidden beneath miles of ice confirmed",FAKE
"Scientists PROVE that human DNA is being modified by chemicals in food supply secretly",FAKE
"EXPOSED: Major tech company founder is NOT human but advanced AI posing as person",FAKE
"Miracle frequency sound healing CURES cancer in 3 days doctors forbidden from revealing",FAKE
"BREAKING: Secret space program has been operating on moon base since 1972 leak confirms",FAKE
"Government ADMITS putting mind control drugs in municipal water supply whistleblower says",FAKE
"TRUTH: Birds are not real they are government surveillance drones disguised as animals",FAKE
"Ancient prophecy decoded REVEALS name of next world leader who will bring global war",FAKE
"EXPOSED: Major supermarket chain selling meat made from laboratory grown human cells",FAKE
"Suppressed CURE for HIV discovered 30 years ago hidden by pharmaceutical industry profit",FAKE
"BOMBSHELL: Meteorites falling this year are actually alien probes sent to terraform earth",FAKE
"Secret frequencies in pop music PROGRAM listeners to be compliant and spend more money",FAKE
"CONFIRMED: Elite bunkers being stocked globally preparing for engineered pandemic event",FAKE
"SHOCKING: Common household cleaning products emit toxic gases linked to lung cancer",FAKE
"BOMBSHELL: Major tech billionaire secretly funding development of bioweapon laboratory",FAKE
"TRUTH EXPOSED: All statistics about climate change are fabricated to collect carbon tax",FAKE
"LEAKED: Plan by pharmaceutical companies to make essential medicines permanently unaffordable",FAKE
"Ancient SCROLL discovered proving Jesus Christ survived crucifixion and moved to Japan",FAKE
"EXPOSED: Government using satellite technology to cause targeted cancer in political enemies",FAKE
"Scientists PROVE that negative thinking can literally change DNA causing disease instantly",FAKE
"URGENT: Stop drinking bottled water contains microplastics that embed in brain permanently",FAKE
"BOMBSHELL: Elite network secretly replacing world leaders with identical looking clones",FAKE
"Himalayan crystal ACTIVATES dormant DNA strands giving humans psychic powers scientists admit",FAKE
"CONFIRMED: Major social media platforms deliberately designed to cause mental illness in users",FAKE
"EXPOSED: Billion dollar pharmaceutical companies paying politicians to keep population sick",FAKE
"Ancient TECHNOLOGY discovered in pyramid allows communication with deceased ancestors PROOF",FAKE